Raesfeld             Municipality in Germany
Flughafen            airport
Berlin               Capital of Germany
Bratwurst            sausage
Hauptstrasse         main street?
Brot                 bread
Klimaanlage          air conditioning
Rammstein            a band named Rammstein
Porsche              car manufacturer
BMW                  car manufacturer
Biergarten           beer garden
Ratskeller           bar or restaurant located in the basement of a city hall
Dirndel              folk costume
Lederhose            leather pants
Schloss              lock
wettbewerbsfaehig    competitive
Mehlhase             our instructor (google translates to flour bunny?)
Gebaeck              pastries
Baeckerei            bakery
Hund                 dog
Doener               doner kebab?
Apfelkuchen          apple cake
Schloss              lock
Eltz                 name of a castle in Germany
